,t,DSP,TJP1,JCAD,RhoA,RhoC
0,0.0,0.0,0.499899,0.0,0.48342900000000005,0.495636
1,0.1,0.0,0.4999,0.0,0.464816,0.513976
2,0.2,0.0,0.4999,0.0,0.45394,0.5398499999999999
3,0.3,0.0,0.4999,0.0,0.44701500000000005,0.56164
4,0.4,0.0,0.49989999999999996,0.0,0.442059,0.579229
5,0.5,0.0,0.4999,0.0,0.43601100000000004,0.5939639999999999
6,0.6,0.0,0.499901,0.0,0.432104,0.606143
7,0.7,0.0,0.4999,0.0,0.429745,0.614128
8,0.8,0.0,0.4999,0.0,0.42856399999999994,0.618136
9,0.9,0.0,0.4999,0.0,0.42669,0.625788
10,1.0,0.0,0.4998989999999999,0.0,0.427007,0.63173
11,1.1,0.0,0.49990100000000004,0.0,0.42557999999999996,0.6301140000000001
12,1.2,0.0,0.499901,0.0,0.42471000000000003,0.6311959999999999
13,1.3,0.0,0.4999,0.0,0.42361899999999997,0.631546
14,1.4,0.0,0.49990100000000004,0.0,0.42360699999999996,0.633622
15,1.5,0.0,0.49990100000000004,0.0,0.421428,0.6356339999999999
16,1.6,0.0,0.4999,0.0,0.42417000000000005,0.640595
17,1.7,0.0,0.49989900000000004,0.0,0.42345,0.641016
18,1.8,0.0,0.49989999999999996,0.0,0.423048,0.6414059999999999
19,1.9,0.0,0.49989900000000004,0.0,0.420693,0.641856
20,2.0,0.0,0.4999,0.0,0.418909,0.6446410000000001
21,2.1,0.0,0.49989900000000004,0.0,0.418638,0.643259
22,2.2,0.0,0.49989900000000004,0.0,0.418366,0.64255
23,2.3,0.0,0.4999,0.0,0.420468,0.6400730000000001
24,2.4,0.0,0.4999,0.0,0.423979,0.642135
25,2.5,0.0,0.499899,0.0,0.424496,0.641732
26,2.6,0.0,0.4999,0.0,0.421172,0.641239
27,2.7,0.0,0.4999,0.0,0.424353,0.641672
28,2.8,0.0,0.49990100000000004,0.0,0.42143200000000003,0.643035
29,2.9,0.0,0.4999,0.0,0.419307,0.6426660000000001
30,3.0,0.0,0.4999,0.0,0.420796,0.6446459999999999
31,3.1,0.0,0.4999,0.0,0.416349,0.644128
32,3.2,0.0,0.499899,0.0,0.412724,0.6464559999999999
33,3.3,0.0,0.49990100000000004,0.0,0.410207,0.648864
34,3.4,0.0,0.4999,0.0,0.41288400000000003,0.64548
35,3.5,0.0,0.4999,0.0,0.412325,0.6422650000000001
36,3.6,0.0,0.4999,0.0,0.412014,0.645245
37,3.7,0.0,0.499901,0.0,0.416366,0.646689
38,3.8,0.0,0.4999,0.0,0.41510800000000003,0.648174
39,3.9,0.0,0.49989999999999996,0.0,0.41733799999999993,0.645851
