,t,DSP,TJP1,JCAD,RhoA,RhoC,delta
0,0.0,0.0,0.493,0.502301,0.48964699999999994,0.540069,0.05042200000000008
1,0.1,0.0,0.492999,0.502299,0.465345,0.586841,0.12149599999999994
2,0.2,0.0,0.4930009999999999,0.502301,0.444048,0.607734,0.163686
3,0.3,0.0,0.49300000000000005,0.5023,0.429663,0.6180239999999999,0.1883609999999999
4,0.4,0.0,0.493,0.5023010000000001,0.41999600000000004,0.631462,0.21146599999999993
5,0.5,0.0,0.49299899999999997,0.5023,0.41395400000000004,0.639965,0.22601099999999996
6,0.6,0.0,0.493,0.502301,0.411062,0.6494510000000001,0.23838900000000013
7,0.7,0.0,0.493001,0.5023009999999999,0.406569,0.6531859999999999,0.24661699999999992
8,0.8,0.0,0.493,0.5023,0.406527,0.658172,0.25164499999999995
9,0.9,0.0,0.4929990000000001,0.5022989999999999,0.404075,0.664263,0.26018800000000003
10,1.0,0.0,0.49300000000000005,0.502299,0.40434799999999993,0.669132,0.264784
11,1.1,0.0,0.493,0.5023,0.405869,0.6679229999999999,0.26205399999999995
12,1.2,0.0,0.492999,0.5023,0.40735099999999996,0.669265,0.26191400000000004
13,1.3,0.0,0.493001,0.5023,0.40470900000000004,0.668444,0.263735
14,1.4,0.0,0.493001,0.502302,0.405706,0.666285,0.260579
15,1.5,0.0,0.493,0.502299,0.406198,0.665873,0.25967500000000004
16,1.6,0.0,0.493,0.5023,0.405563,0.670269,0.264706
17,1.7,0.0,0.493,0.502299,0.40428,0.671031,0.26675100000000007
18,1.8,0.0,0.493001,0.5023,0.40280900000000003,0.6720600000000001,0.2692510000000001
19,1.9,0.0,0.493,0.5023,0.403579,0.670797,0.26721799999999996
20,2.0,0.0,0.492999,0.502299,0.404053,0.6727099999999999,0.2686569999999999
21,2.1,0.0,0.492999,0.5023,0.40486200000000006,0.669948,0.26508599999999993
22,2.2,0.0,0.49300000000000005,0.5023,0.402304,0.66939,0.26708600000000005
23,2.3,0.0,0.493,0.5023,0.401086,0.6741349999999999,0.27304899999999993
24,2.4,0.0,0.493001,0.502301,0.40066900000000005,0.6758310000000001,0.275162
25,2.5,0.0,0.492999,0.5022989999999999,0.399183,0.675293,0.27611
26,2.6,0.0,0.49299999999999994,0.502301,0.396696,0.679699,0.28300300000000006
27,2.7,0.0,0.49300000000000005,0.5023,0.399568,0.681459,0.28189100000000006
28,2.8,0.0,0.493,0.5023,0.39819499999999997,0.682748,0.28455300000000006
29,2.9,0.0,0.49300000000000005,0.502299,0.39864900000000003,0.6832579999999999,0.2846089999999999
30,3.0,0.0,0.493,0.5023000000000001,0.39563499999999996,0.681296,0.28566100000000005
31,3.1,0.0,0.49300099999999997,0.502301,0.3958980000000001,0.679645,0.28374699999999997
32,3.2,0.0,0.492999,0.502301,0.397057,0.679954,0.28289699999999995
33,3.3,0.0,0.49300099999999997,0.502301,0.39606500000000006,0.678484,0.2824189999999999
34,3.4,0.0,0.493,0.5023,0.3984579999999999,0.6764349999999999,0.277977
35,3.5,0.0,0.493,0.5023,0.40047699999999997,0.671642,0.271165
36,3.6,0.0,0.49300099999999997,0.5023010000000001,0.39865900000000004,0.674178,0.275519
37,3.7,0.0,0.492998,0.5023,0.398554,0.6760929999999998,0.2775389999999998
38,3.8,0.0,0.4930010000000001,0.5023010000000001,0.39868200000000004,0.6818890000000001,0.28320700000000004
39,3.9,0.0,0.493001,0.502301,0.403206,0.67998,0.276774
