,t,DSP,TJP1,JCAD,RhoA,RhoC,delta
0,0.0,0.0,0.0,0.492299,0.492387,0.481824,-0.010563000000000045
1,0.1,0.0,0.0,0.492301,0.477638,0.46636,-0.01127800000000001
2,0.2,0.0,0.0,0.49230100000000004,0.471992,0.462073,-0.009919000000000011
3,0.3,0.0,0.0,0.49229999999999996,0.47229699999999997,0.461025,-0.011271999999999949
4,0.4,0.0,0.0,0.49229999999999996,0.47403,0.46662800000000004,-0.007401999999999964
5,0.5,0.0,0.0,0.49229999999999996,0.476167,0.469748,-0.006419000000000008
6,0.6,0.0,0.0,0.49229999999999996,0.482232,0.471951,-0.010280999999999985
7,0.7,0.0,0.0,0.49229999999999996,0.483403,0.47643900000000006,-0.00696399999999997
8,0.8,0.0,0.0,0.49229999999999996,0.491043,0.47824,-0.012803000000000009
9,0.9,0.0,0.0,0.4923,0.498552,0.48024000000000006,-0.01831199999999994
10,1.0,0.0,0.0,0.49229999999999996,0.501825,0.48168500000000003,-0.020139999999999936
11,1.1,0.0,0.0,0.492301,0.500972,0.481085,-0.019886999999999988
12,1.2,0.0,0.0,0.4923,0.501854,0.480475,-0.021379000000000037
13,1.3,0.0,0.0,0.49230000000000007,0.505245,0.482317,-0.02292800000000006
14,1.4,0.0,0.0,0.49229900000000004,0.5045930000000001,0.48687900000000006,-0.017714000000000008
15,1.5,0.0,0.0,0.49230000000000007,0.503315,0.487287,-0.01602799999999993
16,1.6,0.0,0.0,0.492299,0.5031869999999999,0.48512099999999997,-0.01806599999999997
17,1.7,0.0,0.0,0.49229999999999996,0.50646,0.48810600000000004,-0.01835399999999998
18,1.8,0.0,0.0,0.49229900000000004,0.5113070000000001,0.487984,-0.023323000000000094
19,1.9,0.0,0.0,0.4923,0.508959,0.490786,-0.01817300000000005
20,2.0,0.0,0.0,0.492301,0.505261,0.49265899999999996,-0.012602000000000002
21,2.1,0.0,0.0,0.49229900000000004,0.504231,0.495181,-0.009050000000000002
22,2.2,0.0,0.0,0.4923,0.503085,0.498295,-0.0047900000000000165
23,2.3,0.0,0.0,0.492301,0.503184,0.499298,-0.003885999999999945
24,2.4,0.0,0.0,0.4923,0.504086,0.499587,-0.004499000000000031
25,2.5,0.0,0.0,0.49229999999999996,0.506258,0.496746,-0.009511999999999965
26,2.6,0.0,0.0,0.49229999999999996,0.509342,0.497965,-0.01137699999999997
27,2.7,0.0,0.0,0.49229999999999996,0.51037,0.49604099999999995,-0.014329000000000036
28,2.8,0.0,0.0,0.4923,0.50811,0.496056,-0.012053999999999954
29,2.9,0.0,0.0,0.49229999999999996,0.507173,0.49442200000000003,-0.012750999999999957
30,3.0,0.0,0.0,0.49229999999999996,0.506755,0.49727999999999994,-0.009475000000000011
31,3.1,0.0,0.0,0.49230000000000007,0.505459,0.49791799999999997,-0.00754100000000002
32,3.2,0.0,0.0,0.49229999999999996,0.504982,0.499985,-0.004997000000000029
33,3.3,0.0,0.0,0.492301,0.506966,0.502358,-0.0046080000000000565
34,3.4,0.0,0.0,0.49229999999999996,0.506671,0.501453,-0.005217999999999945
35,3.5,0.0,0.0,0.49229900000000004,0.507757,0.50066,-0.00709700000000002
36,3.6,0.0,0.0,0.49229999999999996,0.508618,0.49795999999999996,-0.010658000000000056
37,3.7,0.0,0.0,0.49229999999999996,0.508133,0.498051,-0.010081999999999924
38,3.8,0.0,0.0,0.492301,0.505172,0.49885199999999996,-0.006319999999999992
39,3.9,0.0,0.0,0.492301,0.506979,0.502543,-0.0044359999999999955
